Round Number,Date,Location,Home Team,Away Team,Result
7,06/12/2019 20:00,TD Garden,Boston Celtics,Denver Nuggets,
7,06/12/2019 20:00,AmericanAirlines Arena,Miami Heat,Washington Wizards,
7,06/12/2019 20:00,United Center,Chicago Bulls,Golden State Warriors,
7,06/12/2019 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Minnesota Timberwolves,
7,06/12/2019 20:30,Fiserv Forum,Milwaukee Bucks,LA Clippers,
7,06/12/2019 20:30,AT&T Center,San Antonio Spurs,Sacramento Kings,
7,06/12/2019 22:30,Moda Center,Portland Trail Blazers,Los Angeles Lakers,
7,07/12/2019 14:00,American Airlines Center,Dallas Mavericks,New Orleans Pelicans,
7,07/12/2019 19:30,Madison Square Garden,New York Knicks,Indiana Pacers,
7,07/12/2019 19:30,Wells Fargo Center,Philadelphia 76ers,Cleveland Cavaliers,
7,07/12/2019 20:00,Toyota Center,Houston Rockets,Phoenix Suns,
7,07/12/2019 22:00,Vivint Smart Home Arena,Utah Jazz,Memphis Grizzlies,
7,08/12/2019 15:00,Barclays Center,Brooklyn Nets,Denver Nuggets,
7,08/12/2019 17:00,Spectrum Center,Charlotte Hornets,Atlanta Hawks,
7,08/12/2019 18:00,AmericanAirlines Arena,Miami Heat,Chicago Bulls,
7,08/12/2019 18:00,Wells Fargo Center,Philadelphia 76ers,Toronto Raptors,
7,08/12/2019 18:00,Capital One Arena,Washington Wizards,LA Clippers,
7,08/12/2019 19:00,American Airlines Center,Dallas Mavericks,Sacramento Kings,
7,08/12/2019 21:00,Moda Center,Portland Trail Blazers,Oklahoma City Thunder,
7,08/12/2019 21:30,Staples Center,Los Angeles Lakers,Minnesota Timberwolves,
7,09/12/2019 19:00,Bankers Life Fieldhouse,Indiana Pacers,LA Clippers,
7,09/12/2019 19:30,TD Garden,Boston Celtics,Cleveland Cavaliers,
7,09/12/2019 20:00,United Center,Chicago Bulls,Toronto Raptors,
7,09/12/2019 20:00,Toyota Center,Houston Rockets,Sacramento Kings,
7,09/12/2019 20:00,Fiserv Forum,Milwaukee Bucks,Orlando Magic,
7,09/12/2019 20:00,Smoothie King Center,New Orleans Pelicans,Detroit Pistons,
7,09/12/2019 21:00,Talking Stick Resort Arena,Phoenix Suns,Minnesota Timberwolves,
