Round Number,Date,Location,Home Team,Away Team,Result
18,27/02/2020 19:00,Wells Fargo Center,Philadelphia 76ers,New York Knicks,
18,27/02/2020 20:00,Bankers Life Fieldhouse,Indiana Pacers,Portland Trail Blazers,
18,27/02/2020 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Sacramento Kings,
18,27/02/2020 22:30,Chase Center,Golden State Warriors,Los Angeles Lakers,
18,28/02/2020 19:00,Amway Center,Orlando Magic,Minnesota Timberwolves,
18,28/02/2020 19:30,State Farm Arena,Atlanta Hawks,Brooklyn Nets,
18,28/02/2020 19:30,Scotiabank Arena,Toronto Raptors,Charlotte Hornets,
18,28/02/2020 20:00,AmericanAirlines Arena,Miami Heat,Dallas Mavericks,
18,28/02/2020 20:00,FedExForum,Memphis Grizzlies,Sacramento Kings,
18,28/02/2020 20:00,Fiserv Forum,Milwaukee Bucks,Oklahoma City Thunder,
18,28/02/2020 20:00,Smoothie King Center,New Orleans Pelicans,Cleveland Cavaliers,
18,28/02/2020 21:00,Talking Stick Resort Arena,Phoenix Suns,Detroit Pistons,
18,28/02/2020 21:00,Vivint Smart Home Arena,Utah Jazz,Washington Wizards,
18,28/02/2020 22:30,Staples Center,LA Clippers,Denver Nuggets,
18,29/02/2020 17:00,Madison Square Garden,New York Knicks,Chicago Bulls,
18,29/02/2020 19:30,State Farm Arena,Atlanta Hawks,Portland Trail Blazers,
18,29/02/2020 19:30,AmericanAirlines Arena,Miami Heat,Brooklyn Nets,
18,29/02/2020 20:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Indiana Pacers,
18,29/02/2020 20:00,FedExForum,Memphis Grizzlies,Los Angeles Lakers,
18,29/02/2020 20:30,TD Garden,Boston Celtics,Houston Rockets,
18,29/02/2020 20:30,AT&T Center,San Antonio Spurs,Orlando Magic,
18,29/02/2020 21:00,Talking Stick Resort Arena,Phoenix Suns,Golden State Warriors,
18,01/03/2020 13:00,Spectrum Center,Charlotte Hornets,Milwaukee Bucks,
18,01/03/2020 15:30,Target Center,Minnesota Timberwolves,Dallas Mavericks,
18,01/03/2020 15:30,Staples Center,LA Clippers,Philadelphia 76ers,
18,01/03/2020 18:00,Pepsi Center,Denver Nuggets,Toronto Raptors,
18,01/03/2020 18:00,Golden 1 Center,Sacramento Kings,Detroit Pistons,
18,01/03/2020 20:00,Smoothie King Center,New Orleans Pelicans,Los Angeles Lakers,
18,01/03/2020 20:30,Chase Center,Golden State Warriors,Washington Wizards,
18,02/03/2020 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Utah Jazz,
18,02/03/2020 19:00,Madison Square Garden,New York Knicks,Houston Rockets,
18,02/03/2020 19:00,Amway Center,Orlando Magic,Portland Trail Blazers,
18,02/03/2020 19:30,State Farm Arena,Atlanta Hawks,Memphis Grizzlies,
18,02/03/2020 19:30,AmericanAirlines Arena,Miami Heat,Milwaukee Bucks,
18,02/03/2020 20:00,United Center,Chicago Bulls,Dallas Mavericks,
18,02/03/2020 20:30,AT&T Center,San Antonio Spurs,Indiana Pacers,
18,03/03/2020 19:00,Spectrum Center,Charlotte Hornets,San Antonio Spurs,
18,03/03/2020 19:30,TD Garden,Boston Celtics,Brooklyn Nets,
18,03/03/2020 20:00,Smoothie King Center,New Orleans Pelicans,Minnesota Timberwolves,
18,03/03/2020 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,LA Clippers,
18,03/03/2020 21:00,Pepsi Center,Denver Nuggets,Golden State Warriors,
18,03/03/2020 21:00,Talking Stick Resort Arena,Phoenix Suns,Toronto Raptors,
18,03/03/2020 22:00,Staples Center,Los Angeles Lakers,Philadelphia 76ers,
18,03/03/2020 22:00,Golden 1 Center,Sacramento Kings,Washington Wizards,
18,04/03/2020 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Boston Celtics,
18,04/03/2020 19:00,Little Caesars Arena,Detroit Pistons,Oklahoma City Thunder,
18,04/03/2020 19:00,AmericanAirlines Arena,Miami Heat,Orlando Magic,
18,04/03/2020 19:30,Barclays Center,Brooklyn Nets,Memphis Grizzlies,
18,04/03/2020 19:30,Madison Square Garden,New York Knicks,Utah Jazz,
18,04/03/2020 20:00,Target Center,Minnesota Timberwolves,Chicago Bulls,
18,04/03/2020 20:30,American Airlines Center,Dallas Mavericks,New Orleans Pelicans,
18,04/03/2020 21:30,Fiserv Forum,Milwaukee Bucks,Indiana Pacers,
18,04/03/2020 22:00,Moda Center,Portland Trail Blazers,Washington Wizards,
19,05/03/2020 19:00,Spectrum Center,Charlotte Hornets,Denver Nuggets,
19,05/03/2020 20:00,Toyota Center,Houston Rockets,LA Clippers,
19,05/03/2020 22:00,Golden 1 Center,Sacramento Kings,Philadelphia 76ers,
19,05/03/2020 22:30,Chase Center,Golden State Warriors,Toronto Raptors,
19,06/03/2020 19:00,Capital One Arena,Washington Wizards,Atlanta Hawks,
19,06/03/2020 19:30,Barclays Center,Brooklyn Nets,San Antonio Spurs,
19,06/03/2020 19:30,Madison Square Garden,New York Knicks,Oklahoma City Thunder,
19,06/03/2020 20:00,TD Garden,Boston Celtics,Utah Jazz,
19,06/03/2020 20:00,United Center,Chicago Bulls,Indiana Pacers,
19,06/03/2020 20:00,Target Center,Minnesota Timberwolves,Orlando Magic,
19,06/03/2020 20:00,Smoothie King Center,New Orleans Pelicans,Miami Heat,
19,06/03/2020 20:30,American Airlines Center,Dallas Mavericks,Memphis Grizzlies,
19,06/03/2020 21:00,Talking Stick Resort Arena,Phoenix Suns,Portland Trail Blazers,
19,06/03/2020 22:30,Staples Center,Los Angeles Lakers,Milwaukee Bucks,
19,07/03/2020 17:00,Spectrum Center,Charlotte Hornets,Houston Rockets,
19,07/03/2020 19:00,Little Caesars Arena,Detroit Pistons,Utah Jazz,
19,07/03/2020 19:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Denver Nuggets,
19,07/03/2020 20:00,FedExForum,Memphis Grizzlies,Atlanta Hawks,
19,07/03/2020 20:30,Chase Center,Golden State Warriors,Philadelphia 76ers,
19,07/03/2020 22:00,Moda Center,Portland Trail Blazers,Sacramento Kings,
19,08/03/2020 15:00,Barclays Center,Brooklyn Nets,Chicago Bulls,
19,08/03/2020 15:30,Target Center,Minnesota Timberwolves,New Orleans Pelicans,
19,08/03/2020 15:30,Staples Center,LA Clippers,Los Angeles Lakers,
19,08/03/2020 18:00,TD Garden,Boston Celtics,Oklahoma City Thunder,
19,08/03/2020 18:00,Talking Stick Resort Arena,Phoenix Suns,Milwaukee Bucks,
19,08/03/2020 19:00,Capital One Arena,Washington Wizards,Miami Heat,
19,08/03/2020 19:00,American Airlines Center,Dallas Mavericks,Indiana Pacers,
19,08/03/2020 19:00,Toyota Center,Houston Rockets,Orlando Magic,
19,08/03/2020 19:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,San Antonio Spurs,
19,08/03/2020 19:30,Madison Square Garden,New York Knicks,Detroit Pistons,
19,08/03/2020 21:00,Golden 1 Center,Sacramento Kings,Toronto Raptors,
19,09/03/2020 19:30,State Farm Arena,Atlanta Hawks,Charlotte Hornets,
19,09/03/2020 21:00,Pepsi Center,Denver Nuggets,Milwaukee Bucks,
19,09/03/2020 21:00,Vivint Smart Home Arena,Utah Jazz,Toronto Raptors,
19,10/03/2020 19:00,Bankers Life Fieldhouse,Indiana Pacers,Boston Celtics,
19,10/03/2020 19:00,Capital One Arena,Washington Wizards,New York Knicks,
19,10/03/2020 20:00,United Center,Chicago Bulls,Cleveland Cavaliers,
19,10/03/2020 20:00,Toyota Center,Houston Rockets,Minnesota Timberwolves,
19,10/03/2020 20:00,FedExForum,Memphis Grizzlies,Orlando Magic,
19,10/03/2020 20:00,AT&T Center,San Antonio Spurs,Dallas Mavericks,
19,10/03/2020 22:00,Moda Center,Portland Trail Blazers,Phoenix Suns,
19,10/03/2020 22:30,Chase Center,Golden State Warriors,LA Clippers,
19,10/03/2020 22:30,Staples Center,Los Angeles Lakers,Brooklyn Nets,
19,11/03/2020 19:30,State Farm Arena,Atlanta Hawks,New York Knicks,
19,11/03/2020 19:30,AmericanAirlines Arena,Miami Heat,Charlotte Hornets,
19,11/03/2020 19:30,Wells Fargo Center,Philadelphia 76ers,Detroit Pistons,
19,11/03/2020 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Utah Jazz,
19,11/03/2020 20:30,American Airlines Center,Dallas Mavericks,Denver Nuggets,
19,11/03/2020 22:00,Golden 1 Center,Sacramento Kings,New Orleans Pelicans,
19,12/03/2020 19:00,Amway Center,Orlando Magic,Chicago Bulls,
20,12/03/2020 20:00,Fiserv Forum,Milwaukee Bucks,Boston Celtics,
20,12/03/2020 22:00,Moda Center,Portland Trail Blazers,Memphis Grizzlies,
20,12/03/2020 22:30,Chase Center,Golden State Warriors,Brooklyn Nets,
20,12/03/2020 22:30,Staples Center,Los Angeles Lakers,Houston Rockets,
20,13/03/2020 19:00,Spectrum Center,Charlotte Hornets,Cleveland Cavaliers,
20,13/03/2020 19:30,TD Garden,Boston Celtics,Washington Wizards,
20,13/03/2020 20:00,AmericanAirlines Arena,Miami Heat,New York Knicks,
20,13/03/2020 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Minnesota Timberwolves,
20,13/03/2020 20:30,AT&T Center,San Antonio Spurs,Denver Nuggets,
20,13/03/2020 21:00,Vivint Smart Home Arena,Utah Jazz,New Orleans Pelicans,
20,13/03/2020 22:30,Staples Center,LA Clippers,Brooklyn Nets,
20,14/03/2020 14:00,American Airlines Center,Dallas Mavericks,Phoenix Suns,
20,14/03/2020 19:30,State Farm Arena,Atlanta Hawks,Cleveland Cavaliers,
20,14/03/2020 19:30,Wells Fargo Center,Philadelphia 76ers,Indiana Pacers,
20,14/03/2020 19:30,Scotiabank Arena,Toronto Raptors,Detroit Pistons,
20,14/03/2020 20:00,AmericanAirlines Arena,Miami Heat,Chicago Bulls,
20,14/03/2020 20:30,Fiserv Forum,Milwaukee Bucks,Golden State Warriors,
20,14/03/2020 20:30,AT&T Center,San Antonio Spurs,Minnesota Timberwolves,
20,14/03/2020 21:00,Vivint Smart Home Arena,Utah Jazz,Memphis Grizzlies,
20,14/03/2020 22:30,Staples Center,LA Clippers,New Orleans Pelicans,
20,15/03/2020 15:30,Moda Center,Portland Trail Blazers,Houston Rockets,
20,15/03/2020 18:00,Amway Center,Orlando Magic,Charlotte Hornets,
20,15/03/2020 18:00,Capital One Arena,Washington Wizards,Oklahoma City Thunder,
20,15/03/2020 20:00,United Center,Chicago Bulls,Boston Celtics,
20,15/03/2020 21:00,Staples Center,Los Angeles Lakers,Denver Nuggets,
20,15/03/2020 21:00,Golden 1 Center,Sacramento Kings,Brooklyn Nets,
20,16/03/2020 19:00,Wells Fargo Center,Philadelphia 76ers,Washington Wizards,
20,16/03/2020 20:00,Scotiabank Arena,Toronto Raptors,Golden State Warriors,
20,16/03/2020 20:00,Fiserv Forum,Milwaukee Bucks,Miami Heat,
20,16/03/2020 20:00,Smoothie King Center,New Orleans Pelicans,Atlanta Hawks,
20,16/03/2020 20:30,AT&T Center,San Antonio Spurs,Memphis Grizzlies,
20,16/03/2020 21:00,Vivint Smart Home Arena,Utah Jazz,Los Angeles Lakers,
20,16/03/2020 22:30,Staples Center,LA Clippers,Dallas Mavericks,
20,17/03/2020 19:00,Little Caesars Arena,Detroit Pistons,Orlando Magic,
20,17/03/2020 19:30,Madison Square Garden,New York Knicks,Charlotte Hornets,
20,17/03/2020 20:00,Toyota Center,Houston Rockets,Cleveland Cavaliers,
20,17/03/2020 20:00,FedExForum,Memphis Grizzlies,Oklahoma City Thunder,
20,17/03/2020 22:00,Moda Center,Portland Trail Blazers,Minnesota Timberwolves,
20,17/03/2020 22:00,Golden 1 Center,Sacramento Kings,Dallas Mavericks,
20,18/03/2020 19:00,Wells Fargo Center,Philadelphia 76ers,Toronto Raptors,
20,18/03/2020 19:30,State Farm Arena,Atlanta Hawks,Oklahoma City Thunder,
20,18/03/2020 19:30,TD Garden,Boston Celtics,New York Knicks,
20,18/03/2020 19:30,Barclays Center,Brooklyn Nets,Washington Wizards,
20,18/03/2020 19:30,Bankers Life Fieldhouse,Indiana Pacers,Golden State Warriors,
20,18/03/2020 20:00,United Center,Chicago Bulls,Miami Heat,
20,18/03/2020 20:00,Smoothie King Center,New Orleans Pelicans,San Antonio Spurs,
20,18/03/2020 21:00,Pepsi Center,Denver Nuggets,LA Clippers,
20,18/03/2020 22:00,Staples Center,Los Angeles Lakers,Utah Jazz,
20,18/03/2020 22:00,Talking Stick Resort Arena,Phoenix Suns,Minnesota Timberwolves,
20,19/03/2020 19:00,Spectrum Center,Charlotte Hornets,Philadelphia 76ers,
20,19/03/2020 19:00,Amway Center,Orlando Magic,Cleveland Cavaliers,
21,19/03/2020 20:00,Toyota Center,Houston Rockets,Sacramento Kings,
21,19/03/2020 20:00,Fiserv Forum,Milwaukee Bucks,Memphis Grizzlies,
21,19/03/2020 22:00,Moda Center,Portland Trail Blazers,Dallas Mavericks,
21,20/03/2020 19:00,Little Caesars Arena,Detroit Pistons,Golden State Warriors,
21,20/03/2020 19:00,Bankers Life Fieldhouse,Indiana Pacers,Miami Heat,
21,20/03/2020 19:30,State Farm Arena,Atlanta Hawks,Washington Wizards,
21,20/03/2020 19:30,Scotiabank Arena,Toronto Raptors,Boston Celtics,
21,20/03/2020 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Denver Nuggets,
21,20/03/2020 20:30,AT&T Center,San Antonio Spurs,Chicago Bulls,
21,20/03/2020 21:00,Vivint Smart Home Arena,Utah Jazz,Minnesota Timberwolves,
21,20/03/2020 22:30,Staples Center,LA Clippers,Phoenix Suns,
21,21/03/2020 18:00,Barclays Center,Brooklyn Nets,Boston Celtics,
21,21/03/2020 19:00,Spectrum Center,Charlotte Hornets,Los Angeles Lakers,
21,21/03/2020 19:00,Bankers Life Fieldhouse,Indiana Pacers,Cleveland Cavaliers,
21,21/03/2020 19:00,Amway Center,Orlando Magic,Sacramento Kings,
21,21/03/2020 19:00,Wells Fargo Center,Philadelphia 76ers,Atlanta Hawks,
21,21/03/2020 19:30,Madison Square Garden,New York Knicks,Golden State Warriors,
21,21/03/2020 20:00,Capital One Arena,Washington Wizards,Milwaukee Bucks,
21,21/03/2020 20:00,Toyota Center,Houston Rockets,Chicago Bulls,
21,21/03/2020 20:00,FedExForum,Memphis Grizzlies,New Orleans Pelicans,
21,21/03/2020 22:00,Talking Stick Resort Arena,Phoenix Suns,Dallas Mavericks,
21,22/03/2020 18:00,Little Caesars Arena,Detroit Pistons,Los Angeles Lakers,
21,22/03/2020 18:00,Scotiabank Arena,Toronto Raptors,Denver Nuggets,
21,22/03/2020 19:00,Target Center,Minnesota Timberwolves,Portland Trail Blazers,
21,22/03/2020 19:00,Smoothie King Center,New Orleans Pelicans,Sacramento Kings,
21,22/03/2020 19:00,AT&T Center,San Antonio Spurs,Utah Jazz,
21,23/03/2020 19:00,Bankers Life Fieldhouse,Indiana Pacers,Phoenix Suns,
21,23/03/2020 19:00,Madison Square Garden,New York Knicks,LA Clippers,
21,23/03/2020 19:00,Capital One Arena,Washington Wizards,Boston Celtics,
21,23/03/2020 19:30,Barclays Center,Brooklyn Nets,Orlando Magic,
21,23/03/2020 19:30,AmericanAirlines Arena,Miami Heat,Oklahoma City Thunder,
21,23/03/2020 20:00,United Center,Chicago Bulls,Denver Nuggets,
21,23/03/2020 20:00,Fiserv Forum,Milwaukee Bucks,Detroit Pistons,
21,23/03/2020 20:30,American Airlines Center,Dallas Mavericks,Houston Rockets,
21,24/03/2020 19:00,Spectrum Center,Charlotte Hornets,Portland Trail Blazers,
21,24/03/2020 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Sacramento Kings,
21,24/03/2020 19:30,Scotiabank Arena,Toronto Raptors,Los Angeles Lakers,
21,24/03/2020 20:00,Target Center,Minnesota Timberwolves,Philadelphia 76ers,
21,24/03/2020 20:00,Smoothie King Center,New Orleans Pelicans,Memphis Grizzlies,
21,24/03/2020 22:00,Vivint Smart Home Arena,Utah Jazz,San Antonio Spurs,
21,25/03/2020 19:00,Barclays Center,Brooklyn Nets,LA Clippers,
21,25/03/2020 19:00,Little Caesars Arena,Detroit Pistons,Portland Trail Blazers,
21,25/03/2020 19:00,Amway Center,Orlando Magic,Indiana Pacers,
21,25/03/2020 19:00,Capital One Arena,Washington Wizards,Phoenix Suns,
21,25/03/2020 19:30,AmericanAirlines Arena,Miami Heat,Denver Nuggets,
21,25/03/2020 19:30,Madison Square Garden,New York Knicks,Toronto Raptors,
21,25/03/2020 20:00,FedExForum,Memphis Grizzlies,Boston Celtics,
21,25/03/2020 21:30,Fiserv Forum,Milwaukee Bucks,Houston Rockets,
21,25/03/2020 22:30,Chase Center,Golden State Warriors,Atlanta Hawks,
21,26/03/2020 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Los Angeles Lakers,
22,26/03/2020 20:00,United Center,Chicago Bulls,Philadelphia 76ers,
22,26/03/2020 20:00,Target Center,Minnesota Timberwolves,San Antonio Spurs,
22,26/03/2020 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Charlotte Hornets,
22,26/03/2020 20:30,American Airlines Center,Dallas Mavericks,Utah Jazz,
22,26/03/2020 22:00,Golden 1 Center,Sacramento Kings,Atlanta Hawks,
22,27/03/2020 19:00,Little Caesars Arena,Detroit Pistons,LA Clippers,
22,27/03/2020 19:00,Bankers Life Fieldhouse,Indiana Pacers,Houston Rockets,
22,27/03/2020 19:00,Amway Center,Orlando Magic,Brooklyn Nets,
22,27/03/2020 19:00,Wells Fargo Center,Philadelphia 76ers,Phoenix Suns,
22,27/03/2020 19:30,TD Garden,Boston Celtics,Portland Trail Blazers,
22,27/03/2020 20:00,Smoothie King Center,New Orleans Pelicans,New York Knicks,
22,27/03/2020 20:30,Fiserv Forum,Milwaukee Bucks,Washington Wizards,
22,27/03/2020 21:00,Pepsi Center,Denver Nuggets,San Antonio Spurs,
22,28/03/2020 18:00,Barclays Center,Brooklyn Nets,Cleveland Cavaliers,
22,28/03/2020 19:00,Spectrum Center,Charlotte Hornets,LA Clippers,
22,28/03/2020 20:00,AmericanAirlines Arena,Miami Heat,Phoenix Suns,
22,28/03/2020 20:00,Capital One Arena,Washington Wizards,Los Angeles Lakers,
22,28/03/2020 20:00,United Center,Chicago Bulls,New York Knicks,
22,28/03/2020 20:00,FedExForum,Memphis Grizzlies,Toronto Raptors,
22,28/03/2020 20:30,Chase Center,Golden State Warriors,Oklahoma City Thunder,
22,28/03/2020 21:00,Vivint Smart Home Arena,Utah Jazz,Atlanta Hawks,
22,29/03/2020 15:00,American Airlines Center,Dallas Mavericks,Milwaukee Bucks,
22,29/03/2020 17:00,Little Caesars Arena,Detroit Pistons,Houston Rockets,
22,29/03/2020 18:00,TD Garden,Boston Celtics,Minnesota Timberwolves,
22,29/03/2020 18:00,Amway Center,Orlando Magic,New Orleans Pelicans,
22,29/03/2020 19:30,Wells Fargo Center,Philadelphia 76ers,Portland Trail Blazers,
22,29/03/2020 20:30,Chase Center,Golden State Warriors,San Antonio Spurs,
22,29/03/2020 21:00,Golden 1 Center,Sacramento Kings,Indiana Pacers,
22,30/03/2020 19:00,Spectrum Center,Charlotte Hornets,Miami Heat,
22,30/03/2020 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Phoenix Suns,
22,30/03/2020 19:30,Barclays Center,Brooklyn Nets,Portland Trail Blazers,
22,30/03/2020 19:30,Scotiabank Arena,Toronto Raptors,Memphis Grizzlies,
22,30/03/2020 20:00,Target Center,Minnesota Timberwolves,Los Angeles Lakers,
22,30/03/2020 21:00,Pepsi Center,Denver Nuggets,Oklahoma City Thunder,
22,30/03/2020 21:00,Vivint Smart Home Arena,Utah Jazz,Chicago Bulls,
22,30/03/2020 22:30,Staples Center,LA Clippers,Indiana Pacers,
22,31/03/2020 19:30,State Farm Arena,Atlanta Hawks,New Orleans Pelicans,
22,31/03/2020 19:30,Wells Fargo Center,Philadelphia 76ers,Houston Rockets,
22,31/03/2020 22:00,Chase Center,Golden State Warriors,Denver Nuggets,
22,31/03/2020 22:00,Golden 1 Center,Sacramento Kings,San Antonio Spurs,
22,01/04/2020 19:00,Amway Center,Orlando Magic,Charlotte Hornets,
22,01/04/2020 19:00,Capital One Arena,Washington Wizards,New Orleans Pelicans,
22,01/04/2020 19:30,TD Garden,Boston Celtics,Miami Heat,
22,01/04/2020 19:30,Barclays Center,Brooklyn Nets,Detroit Pistons,
22,01/04/2020 20:00,FedExForum,Memphis Grizzlies,New York Knicks,
22,01/04/2020 20:00,Target Center,Minnesota Timberwolves,Dallas Mavericks,
22,01/04/2020 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Phoenix Suns,
22,01/04/2020 21:00,Fiserv Forum,Milwaukee Bucks,Toronto Raptors,
22,01/04/2020 21:00,Vivint Smart Home Arena,Utah Jazz,Cleveland Cavaliers,
22,01/04/2020 22:30,Staples Center,Los Angeles Lakers,Indiana Pacers,
23,02/04/2020 20:00,Toyota Center,Houston Rockets,Golden State Warriors,
23,02/04/2020 22:00,Golden 1 Center,Sacramento Kings,LA Clippers,
23,02/04/2020 22:30,Moda Center,Portland Trail Blazers,Utah Jazz,
23,03/04/2020 19:00,Little Caesars Arena,Detroit Pistons,Miami Heat,
23,03/04/2020 19:00,Bankers Life Fieldhouse,Indiana Pacers,Brooklyn Nets,
23,03/04/2020 19:00,Capital One Arena,Washington Wizards,Philadelphia 76ers,
23,03/04/2020 19:30,State Farm Arena,Atlanta Hawks,Charlotte Hornets,
23,03/04/2020 19:30,TD Garden,Boston Celtics,Orlando Magic,
23,03/04/2020 19:30,Madison Square Garden,New York Knicks,Minnesota Timberwolves,
23,03/04/2020 19:30,Scotiabank Arena,Toronto Raptors,Milwaukee Bucks,
23,03/04/2020 20:00,FedExForum,Memphis Grizzlies,Dallas Mavericks,
23,03/04/2020 20:30,AT&T Center,San Antonio Spurs,Golden State Warriors,
23,03/04/2020 21:00,Pepsi Center,Denver Nuggets,Chicago Bulls,
23,03/04/2020 22:00,Talking Stick Resort Arena,Phoenix Suns,Cleveland Cavaliers,
23,04/04/2020 15:30,Staples Center,LA Clippers,Oklahoma City Thunder,
23,04/04/2020 22:00,Golden 1 Center,Sacramento Kings,Los Angeles Lakers,
23,05/04/2020 13:00,Spectrum Center,Charlotte Hornets,Atlanta Hawks,
23,05/04/2020 13:00,Wells Fargo Center,Philadelphia 76ers,Orlando Magic,
23,05/04/2020 15:30,TD Garden,Boston Celtics,Milwaukee Bucks,
23,05/04/2020 17:00,Bankers Life Fieldhouse,Indiana Pacers,Washington Wizards,
23,05/04/2020 17:00,Madison Square Garden,New York Knicks,Miami Heat,
23,05/04/2020 18:00,Barclays Center,Brooklyn Nets,Dallas Mavericks,
23,05/04/2020 18:00,Pepsi Center,Denver Nuggets,Utah Jazz,
23,05/04/2020 18:00,Talking Stick Resort Arena,Phoenix Suns,Chicago Bulls,
23,05/04/2020 19:00,Toyota Center,Houston Rockets,Toronto Raptors,
23,05/04/2020 19:00,Target Center,Minnesota Timberwolves,Detroit Pistons,
23,05/04/2020 19:00,AT&T Center,San Antonio Spurs,New Orleans Pelicans,
23,05/04/2020 21:00,Moda Center,Portland Trail Blazers,Memphis Grizzlies,
23,05/04/2020 21:00,Golden 1 Center,Sacramento Kings,Cleveland Cavaliers,
23,05/04/2020 21:30,Staples Center,Los Angeles Lakers,Oklahoma City Thunder,
23,07/04/2020 19:00,Capital One Arena,Washington Wizards,Toronto Raptors,
23,07/04/2020 19:30,State Farm Arena,Atlanta Hawks,Detroit Pistons,
23,07/04/2020 19:30,AmericanAirlines Arena,Miami Heat,Indiana Pacers,
23,07/04/2020 19:30,Wells Fargo Center,Philadelphia 76ers,Milwaukee Bucks,
23,07/04/2020 20:00,Target Center,Minnesota Timberwolves,Phoenix Suns,
23,07/04/2020 20:00,Smoothie King Center,New Orleans Pelicans,Charlotte Hornets,
23,07/04/2020 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Brooklyn Nets,
23,07/04/2020 20:30,American Airlines Center,Dallas Mavericks,Houston Rockets,
23,07/04/2020 20:30,AT&T Center,San Antonio Spurs,Sacramento Kings,
23,07/04/2020 21:00,Pepsi Center,Denver Nuggets,Memphis Grizzlies,
23,07/04/2020 22:00,Vivint Smart Home Arena,Utah Jazz,LA Clippers,
23,07/04/2020 22:00,Moda Center,Portland Trail Blazers,Cleveland Cavaliers,
23,07/04/2020 22:30,Staples Center,Los Angeles Lakers,Chicago Bulls,
23,08/04/2020 19:00,TD Garden,Boston Celtics,Indiana Pacers,
23,08/04/2020 19:00,Spectrum Center,Charlotte Hornets,Toronto Raptors,
23,08/04/2020 19:30,Madison Square Garden,New York Knicks,Orlando Magic,
23,08/04/2020 21:30,Toyota Center,Houston Rockets,San Antonio Spurs,
23,08/04/2020 22:30,Chase Center,Golden State Warriors,Cleveland Cavaliers,
23,08/04/2020 22:30,Staples Center,LA Clippers,Chicago Bulls,
23,09/04/2020 19:30,AmericanAirlines Arena,Miami Heat,Detroit Pistons,
24,09/04/2020 20:00,Fiserv Forum,Milwaukee Bucks,Brooklyn Nets,
24,09/04/2020 20:00,Target Center,Minnesota Timberwolves,Sacramento Kings,
24,09/04/2020 20:00,Smoothie King Center,New Orleans Pelicans,Phoenix Suns,
24,09/04/2020 22:00,Moda Center,Portland Trail Blazers,Denver Nuggets,
24,09/04/2020 22:30,Staples Center,Los Angeles Lakers,Golden State Warriors,
24,10/04/2020 19:00,Amway Center,Orlando Magic,Boston Celtics,
24,10/04/2020 19:30,Scotiabank Arena,Toronto Raptors,Atlanta Hawks,
24,10/04/2020 20:00,Toyota Center,Houston Rockets,Washington Wizards,
24,10/04/2020 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,New York Knicks,
24,10/04/2020 20:30,AT&T Center,San Antonio Spurs,Philadelphia 76ers,
24,11/04/2020 15:00,American Airlines Center,Dallas Mavericks,Detroit Pistons,
24,11/04/2020 19:00,Spectrum Center,Charlotte Hornets,Washington Wizards,
24,11/04/2020 19:00,Bankers Life Fieldhouse,Indiana Pacers,Orlando Magic,
24,11/04/2020 19:00,Smoothie King Center,New Orleans Pelicans,Philadelphia 76ers,
24,11/04/2020 19:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Milwaukee Bucks,
24,11/04/2020 20:00,AmericanAirlines Arena,Miami Heat,Boston Celtics,
24,11/04/2020 20:00,United Center,Chicago Bulls,Brooklyn Nets,
24,11/04/2020 20:00,FedExForum,Memphis Grizzlies,Oklahoma City Thunder,
24,11/04/2020 20:30,Staples Center,LA Clippers,Golden State Warriors,
24,11/04/2020 21:00,Pepsi Center,Denver Nuggets,Sacramento Kings,
24,11/04/2020 22:00,Talking Stick Resort Arena,Phoenix Suns,Utah Jazz,
24,12/04/2020 15:30,AT&T Center,San Antonio Spurs,Houston Rockets,
24,12/04/2020 18:00,Scotiabank Arena,Toronto Raptors,New York Knicks,
24,12/04/2020 19:00,Fiserv Forum,Milwaukee Bucks,Atlanta Hawks,
24,12/04/2020 21:30,Staples Center,Los Angeles Lakers,Minnesota Timberwolves,
24,13/04/2020 19:00,Spectrum Center,Charlotte Hornets,Miami Heat,
24,13/04/2020 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Brooklyn Nets,
24,13/04/2020 19:00,Little Caesars Arena,Detroit Pistons,Boston Celtics,
24,13/04/2020 19:00,Bankers Life Fieldhouse,Indiana Pacers,San Antonio Spurs,
24,13/04/2020 20:00,United Center,Chicago Bulls,Orlando Magic,
24,13/04/2020 20:00,Toyota Center,Houston Rockets,Phoenix Suns,
24,13/04/2020 20:00,FedExForum,Memphis Grizzlies,Philadelphia 76ers,
