"TEAM_ID","TEAM_NAME","GP","W","L","W_PCT","MIN","E_OFF_RATING","OFF_RATING","E_DEF_RATING","DEF_RATING","E_NET_RATING","NET_RATING","AST_PCT","AST_TO","AST_RATIO","OREB_PCT","DREB_PCT","REB_PCT","TM_TOV_PCT","EFG_PCT","TS_PCT","E_PACE","PACE","PACE_PER40","POSS","PIE","GP_RANK","W_RANK","L_RANK","W_PCT_RANK","MIN_RANK","OFF_RATING_RANK","DEF_RATING_RANK","NET_RATING_RANK","AST_PCT_RANK","AST_TO_RANK","AST_RATIO_RANK","OREB_PCT_RANK","DREB_PCT_RANK","REB_PCT_RANK","TM_TOV_PCT_RANK","EFG_PCT_RANK","TS_PCT_RANK","PACE_RANK","PIE_RANK","CFID","CFPARAMS"
1610612746,"LA Clippers",2,2,0,1.000000,96.0,123.6,124.6,106.4,109.3,17.1,15.4,0.62,1.68,20.6,0.224,0.685,0.497,0.167,0.661,0.685,103.8,102.0,85.0,203,0.589,1,1,1,1,7,1,24,2,11,11,2,23,28,19,19,1,1,23,6,10,"LA Clippers"
1610612747,"Los Angeles Lakers",2,1,1,0.500000,96.0,98.6,102.1,102.2,103.1,-3.6,-1.1,0.549,1.34,14.9,0.286,0.776,0.505,0.15,0.477,0.516,98.4,96.25,80.21,193,0.478,1,5,11,11,7,20,15,17,19,17,20,7,8,14,12,21,24,30,19,10,"Los Angeles Lakers"
1610612763,"Memphis Grizzlies",2,0,2,0.000000,96.0,91.0,92.3,104.2,104.5,-13.2,-12.3,0.597,1.1,15.5,0.281,0.748,0.502,0.191,0.462,0.495,110.9,110.0,91.67,220,0.434,1,22,26,22,7,27,18,28,16,22,17,8,15,16,28,25,26,2,27,10,"Memphis Grizzlies"
1610612748,"Miami Heat",1,1,0,1.000000,48.0,107.0,105.3,86.2,88.6,20.8,16.7,0.45,0.86,12.5,0.255,0.75,0.524,0.184,0.512,0.587,114.7,114.0,95.0,114,0.625,21,5,1,1,21,17,2,1,28,28,28,16,13,5,25,13,6,1,2,10,"Miami Heat"
1610612749,"Milwaukee Bucks",1,1,0,1.000000,48.0,104.5,107.3,99.9,101.8,4.7,5.5,0.674,2.82,20.8,0.155,0.781,0.484,0.101,0.545,0.547,111.5,109.0,90.83,109,0.547,21,5,1,1,21,12,12,10,5,1,1,30,6,23,1,8,16,5,8,10,"Milwaukee Bucks"
1610612750,"Minnesota Timberwolves",2,2,0,1.000000,101.0,107.8,110.2,100.1,100.9,7.8,9.3,0.596,1.77,17.0,0.298,0.781,0.539,0.133,0.51,0.551,108.1,106.46,88.71,225,0.59,1,1,1,1,1,6,10,6,17,8,11,4,7,3,8,14,15,10,5,10,"Minnesota Timberwolves"
1610612740,"New Orleans Pelicans",2,0,2,0.000000,101.0,108.0,110.2,112.9,115.5,-4.9,-5.3,0.682,1.82,19.5,0.281,0.661,0.474,0.153,0.525,0.552,105.6,103.37,86.14,216,0.47,1,22,26,22,1,7,27,21,3,6,4,8,29,27,13,11,13,18,20,10,"New Orleans Pelicans"
1610612752,"New York Knicks",2,0,2,0.000000,96.0,99.4,100.0,107.0,106.4,-7.5,-6.4,0.5,1.02,14.7,0.188,0.75,0.456,0.182,0.546,0.563,109.8,109.75,91.46,220,0.441,1,22,26,22,7,22,20,23,22,24,23,28,13,29,23,7,11,3,25,10,"New York Knicks"
1610612760,"Oklahoma City Thunder",2,0,2,0.000000,96.0,85.6,88.2,95.1,95.6,-9.5,-7.4,0.446,0.83,11.4,0.204,0.768,0.491,0.172,0.437,0.475,104.4,102.5,85.42,204,0.457,1,22,26,22,7,29,7,24,29,29,30,26,12,21,20,28,28,22,21,10,"Oklahoma City Thunder"
1610612753,"Orlando Magic",1,1,0,1.000000,48.0,93.7,92.2,84.5,83.3,9.2,8.8,0.649,1.85,17.8,0.167,0.776,0.482,0.127,0.483,0.498,100.5,102.0,85.0,102,0.546,21,5,1,1,21,28,1,8,7,5,8,29,9,24,5,18,25,23,9,10,"Orlando Magic"
1610612755,"Philadelphia 76ers",1,1,0,1.000000,48.0,101.1,103.9,87.8,90.3,13.3,13.6,0.649,1.41,16.6,0.346,0.773,0.585,0.165,0.476,0.531,105.9,103.0,85.83,103,0.681,21,5,1,1,21,18,3,4,7,15,13,1,10,1,18,22,20,20,1,10,"Philadelphia 76ers"
1610612756,"Phoenix Suns",2,1,1,0.500000,101.0,105.5,106.5,89.3,93.5,16.2,12.9,0.675,1.75,18.7,0.255,0.731,0.511,0.147,0.503,0.561,106.0,103.13,85.94,217,0.612,1,5,11,11,1,15,6,5,4,9,6,17,22,9,10,16,12,19,3,10,"Phoenix Suns"
1610612757,"Portland Trail Blazers",2,1,1,0.500000,96.0,105.8,107.8,107.4,105.3,-1.6,2.5,0.439,1.0,13.5,0.258,0.743,0.51,0.175,0.529,0.579,103.6,103.75,86.46,206,0.515,1,5,11,11,7,10,19,13,30,25,27,15,18,11,22,10,9,15,12,10,"Portland Trail Blazers"
1610612758,"Sacramento Kings",2,0,2,0.000000,96.0,95.7,96.3,113.6,114.4,-17.9,-18.1,0.479,0.77,12.2,0.273,0.772,0.5,0.205,0.48,0.525,108.2,107.5,89.58,215,0.353,1,22,26,22,7,24,26,29,26,30,29,10,11,17,30,19,21,8,30,10,"Sacramento Kings"
1610612759,"San Antonio Spurs",1,1,0,1.000000,48.0,109.2,110.1,100.1,100.9,9.2,9.2,0.524,1.05,15.6,0.222,0.863,0.563,0.193,0.548,0.607,110.4,109.5,91.25,109,0.557,21,5,1,1,21,8,11,7,20,23,16,24,1,2,29,5,3,4,7,10,"San Antonio Spurs"
1610612761,"Toronto Raptors",2,1,1,0.500000,101.0,105.3,107.8,106.9,107.8,-1.7,-0.1,0.57,1.13,15.3,0.296,0.685,0.506,0.183,0.525,0.575,105.3,103.6,86.34,219,0.499,1,5,11,11,1,11,22,16,18,21,18,5,27,13,24,12,10,17,15,10,"Toronto Raptors"
1610612762,"Utah Jazz",2,1,1,0.500000,96.0,93.9,94.9,92.6,96.4,1.3,-1.5,0.493,1.0,13.7,0.198,0.739,0.488,0.173,0.475,0.522,100.8,98.25,81.87,196,0.483,1,5,11,11,7,25,8,18,24,25,25,27,20,22,21,23,22,28,17,10,"Utah Jazz"
1610612764,"Washington Wizards",2,1,1,0.500000,96.0,91.5,94.3,91.8,93.2,-0.3,1.0,0.618,1.47,16.5,0.259,0.823,0.514,0.153,0.458,0.487,106.4,104.0,86.67,209,0.494,1,5,11,11,7,26,5,15,12,13,14,14,4,8,14,26,27,13,16,10,"Washington Wizards"
1610612764,"Boston Celtics",2,1,1,0.500000,96.0,91.5,94.3,91.8,93.2,-0.3,1.0,0.618,1.47,16.5,0.259,0.823,0.514,0.153,0.458,0.487,106.4,104.0,86.67,209,0.494,1,5,11,11,7,26,5,15,12,13,14,14,4,8,14,26,27,13,16,10,"Boston Celtics"
1610612764,"Atlanta Hawks",2,1,1,0.500000,96.0,91.5,94.3,91.8,93.2,-0.3,1.0,0.618,1.47,16.5,0.259,0.823,0.514,0.153,0.458,0.487,106.4,104.0,86.67,209,0.494,1,5,11,11,7,26,5,15,12,13,14,14,4,8,14,26,27,13,16,10,"Atlanta Hawks"
